adventDay,RumseyListNo,Album,#,Type,link
1,12514.021,1883,7,Diverging,https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~309182~90079076:Statistical-Diagram--Circulation-Sp?sort=Pub_List_No_InitialSort%2CPub_Date%2CPub_List_No%2CSeries_No&qvq=w4s:/who%2FCheysson%25252C%2B%2525C3%252589mile;q:statistique%20graphique;sort:Pub_List_No_InitialSort%2CPub_Date%2CPub_List_No%2CSeries_No;lc:RUMSEY~8~1&mi=122&trs=587
2,12516.024,1886,8,Grouped,https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~309250~90079139:Statistical-Diagram--Mouvement-de-l?sort=Pub_List_No_InitialSort%2CPub_Date%2CPub_List_No%2CSeries_No&qvq=w4s:/who%2FCheysson%25252C%2B%2525C3%252589mile;q:statistique%20graphique;sort:Pub_List_No_InitialSort%2CPub_Date%2CPub_List_No%2CSeries_No;lc:RUMSEY~8~1&mi=190&trs=587
3,12512.012,1881,3,Sequential,https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~309110~90078973:Carte-Formative-du-Tonnage-des-Voie?sort=Pub_List_No_InitialSort%2CPub_Date%2CPub_List_No%2CSeries_No&qvq=w4s:/who%2FCheysson%25252C%2B%2525C3%252589mile;q:statistique%20graphique;sort:Pub_List_No_InitialSort%2CPub_Date%2CPub_List_No%2CSeries_No;lc:RUMSEY~8~1&mi=50&trs=587
4,12516.017,1886,4,Grouped,https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~309243~90079146:Resultats-D-Exploitation-des-Chemin?sort=Pub_List_No_InitialSort%2CPub_Date%2CPub_List_No%2CSeries_No&qvq=w4s:/who%2FCheysson%25252C%2B%2525C3%252589mile;q:statistique%20graphique;sort:Pub_List_No_InitialSort%2CPub_Date%2CPub_List_No%2CSeries_No;lc:RUMSEY~8~1&mi=183&trs=587
5,12516.028,1886,5,Category,https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~309254~90079135:Statistical-Diagram--Resultats-D-Ex?sort=Pub_List_No_InitialSort%2CPub_Date%2CPub_List_No%2CSeries_No&qvq=w4s:/who%2FCheysson%25252C%2B%2525C3%252589mile;q:statistique%20graphique;sort:Pub_List_No_InitialSort%2CPub_Date%2CPub_List_No%2CSeries_No;lc:RUMSEY~8~1&mi=194&trs=587
6,12511.007,1880,7,Grouped,https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~309764~90078941:Carte-Figurative-du-Developpment-de?sort=date%2Clist_no
7,12516.011,1886,8,Grouped,https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~309237~90079152:Carte-Figurative-des-Expeditions-de?sort=Pub_List_No_InitialSort%2CPub_Date%2CPub_List_No%2CSeries_No&qvq=w4s:/who%2FCheysson%25252C%2B%2525C3%252589mile;q:statistique%20graphique;sort:Pub_List_No_InitialSort%2CPub_Date%2CPub_List_No%2CSeries_No;lc:RUMSEY~8~1&mi=177&trs=587
8,12518.022,1887,6,Grouped,https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~309319~90079218:Statistical-Diagram--I--Mouvement-M?sort=Pub_List_No_InitialSort%2CPub_Date%2CPub_List_No%2CSeries_No&qvq=w4s:/who%2FCheysson%25252C%2B%2525C3%252589mile;q:statistique%20graphique;sort:Pub_List_No_InitialSort%2CPub_Date%2CPub_List_No%2CSeries_No;lc:RUMSEY~8~1&mi=259&trs=587
9,12519.027,1888,5,Sequential,https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~309377~90079243:Acceleration-des-Traversees-Maritim?sort=Pub_List_No_InitialSort%2CPub_Date%2CPub_List_No%2CSeries_No&qvq=w4s:/who%2FCheysson%25252C%2B%2525C3%252589mile;q:statistique%20graphique;sort:Pub_List_No_InitialSort%2CPub_Date%2CPub_List_No%2CSeries_No;lc:RUMSEY~8~1&mi=296&trs=587
10,12524.016,1895,4,Category,https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~309654~90079537:Nombre-Quotidien-de-Trains-sur-le-R?sort=Pub_List_No_InitialSort%2CPub_Date%2CPub_List_No%2CSeries_No&qvq=q:12524.016;sort:Pub_List_No_InitialSort%2CPub_Date%2CPub_List_No%2CSeries_No;lc:RUMSEY~8~1&mi=0&trs=1
